Seed,Combined_Diff,Diff_CER_Mean,Diff_CER_Std,Diff_Q_Length_Mean,Diff_Q_Length_Std,Diff_Percent_Highlighted,Diff_ECE,X_CER_Mean,X_CER_Std,X_Q_Length_Mean,X_Q_Length_Std,X_Percent_Highlighted,X_ECE,Y_CER_Mean,Y_CER_Std,Y_Q_Length_Mean,Y_Q_Length_Std,Y_Percent_Highlighted,Y_ECE,Diff_CER_Mean_norm,Diff_CER_Std_norm,Diff_Q_Length_Mean_norm,Diff_Q_Length_Std_norm,Diff_Percent_Highlighted_norm,Diff_ECE_norm
30,2.5236546381804557,-0.04007609908215025,-0.06040828868072631,-0.8999999999999986,-1.8245905601530417,-9.056515767925166,-0.03792019242347107,0.03576344531029463,0.0722843922474628,42.1,1.8681541692269403,7.722007722007722,0.03876605653858571,0.07583954439244488,0.13269268092818912,43.0,3.692744729379982,16.778523489932887,0.07668624896205678,0.370248914871995,0.09810454469018391,0.2695652173913035,1.0,0.4640258853523644,0.32171007587460865
31,3.100860681668239,-0.07845747540281578,-0.10549693545922953,1.2000000000000028,-0.5527149492152788,-9.236369350023569,-0.05839349400489743,0.015658914856612683,0.033058014330058,43.2,2.6381811916545836,7.377049180327869,0.029365255027754687,0.09411639025942846,0.13855494978928753,42.0,3.1908961408698624,16.61341853035144,0.08775874903265211,0.7343557681043608,0.7069349928703134,0.3652173913043482,0.3007020502922882,0.47346539742372906,0.5201850816731993
32,0.3929440937204591,-0.014424231428314338,-0.06138836954757282,0.054545454545454675,-0.11656436574593387,-0.847435631229235,-0.010988780217809718,0.04920013789087534,0.07329430415836136,42.6,2.9393876913398134,12.109375,0.051422103027987276,0.06362436931918967,0.13468267370593417,42.54545454545455,3.0559520570857472,12.956810631229235,0.062410883245796994,0.12690118463590158,0.11133854295910993,0.0,0.06089934776302352,0.033177024067276926,0.06062799429514716
33,2.815966674155254,0.048844035460867664,0.10506023769901862,2.154545454545456,-0.6340267289332275,3.279513038095484,0.05483676761441906,0.08234065864235163,0.14864448869684677,43.7,2.4515301344262523,14.233576642335766,0.08786874817627852,0.03349662318148396,0.04358425099782814,41.54545454545455,3.08555686335948,10.954063604240282,0.03303198056185946,0.4534263834839654,0.7010382780193539,0.6695652173913039,0.3454085926261903,0.16082321144232958,0.48570499119211075
34,2.893233527718677,0.07521801916035739,0.10356644826656358,0.054545454545454675,0.20143140785722125,11.4450375183724,0.08847390667900523,0.09615560248494148,0.14383127968768178,42.6,3.104834939252005,18.27956989247312,0.09827099723886823,0.020937583324584095,0.0402648314211182,42.54545454545455,2.9034035313947837,6.83453237410072,0.009797090559862998,0.7036245038377797,0.6808676906403167,0.0,0.10756063133180276,0.5893860790888886,0.8117946228198896
35,2.1309387005103826,0.05587805077772248,0.11145074352284913,0.2454545454545496,-0.3780765259790573,1.1304033279073966,0.05732984717137059,0.08602514285594225,0.1491232488604082,42.7,2.7946377224964243,13.157894736842104,0.09316071541979912,0.03014709207821976,0.03767250533755907,42.45454545454545,3.1727142484754816,12.027491408934708,0.03583086824842853,0.5201549228987776,0.7873290585773419,0.06086956521739251,0.20468299759637698,0.04802842128403257,0.5098737349364614
36,2.0831501037338693,-0.02577970298853787,-0.05416753530545136,-2.0454545454545467,0.43496832208884584,-11.77431906614786,-0.04158881508968207,0.04325203374028206,0.0775226185894634,41.5,3.0413812651491097,6.22568093385214,0.03706988861203678,0.06903173672881993,0.13169015389491476,43.54545454545455,2.606412943060264,18.0,0.07865870370171885,0.23462543564293056,0.013835866299467392,0.6347826086956517,0.23596303475773983,0.6066682322094391,0.35727492612864087
37,3.5654860099461985,-0.08331630673598159,-0.11296988043344183,0.4363636363636303,-1.1132862467690954,-11.051880674448768,-0.07465101376351443,0.0131138127297163,0.025659492885635148,42.8,2.3579652245103193,6.614785992217899,0.016707503723229496,0.09643011946569789,0.138629373319077,42.36363636363637,3.4712514712794147,17.666666666666668,0.09135851748674392,0.7804493154624651,0.807841912082719,0.12173913043478048,0.6089132901912485,0.5687514676963491,0.6777908940786361
38,0.9572986205414818,-0.008415362442081624,-0.054953027941078134,-0.518181818181823,0.7259146991282854,3.3968871595330725,-0.020436652757573615,0.052347640693187716,0.07770784602628121,42.3,3.3481338085566414,14.396887159533073,0.04699379024717973,0.06076300313526934,0.13266087396735934,42.81818181818182,2.622219109428356,11.0,0.06743044300475334,0.06989774734945017,0.024442346368388955,0.14782608695652305,0.3959300969365293,0.16698352486644444,0.15221881806414594
39,0.6892329436643951,0.02204213015396487,0.06747340798618204,-0.13636363636363313,0.2694284492842245,-1.2149822008976958,0.012271035850569573,0.06830156538635493,0.13952981384198207,42.5,3.138470965295043,11.971830985915492,0.06905998746409038,0.04625943523239006,0.07205640585580003,42.63636363636363,2.8690425160108184,13.186813186813188,0.05678895161352081,0.19916876331952515,0.19350460791047752,0.026086956521738026,0.1449465134472988,0.05246749490858527,0.07305860755677027
40,1.7155723408900296,-0.028373972021720623,-0.05987346289602127,-1.2818181818181813,0.6166078387119738,-5.430045132172792,-0.042347000301826296,0.041893130913376805,0.07359784791220686,41.9,3.2388269481403293,9.818181818181818,0.040062939670850575,0.07026710293509743,0.13347131080822813,43.18181818181818,2.6222191094283556,15.24822695035461,0.08240993997267687,0.2592360990599626,0.09088281049621155,0.39130434782608625,0.3358314027554565,0.2736926546030064,0.36462502614930625
